Timestamp(ms),ADC_Value,Voltage(V),PulseDetected,InternalResistance(ohm),Current(A),Power(W)
1288721,2420,3.9003663003663003,1,337.492486851991,0.003913917343123518,0.07407572308702645
1289580,2614,4.213040293040293,1,382.20804062043544,0.0037815531643974804,0.06540940363111589
1290440,2293,3.6956776556776556,1,304.1220314792055,0.004018898366469102,0.08220384389254413
1292158,2672,4.306520146520146,1,394.3158002177463,0.003747238846444037,0.06340095929758502
1293018,2339,3.7698168498168494,1,316.6275409071475,0.003978903722252138,0.07895712397087835
1294736,2731,4.401611721611721,1,406.1046569688092,0.0037144214412415154,0.06156048587721594
1295596,2382,3.839120879120879,1,327.88069613006644,0.003943588710879049,0.07624724570574534
1296455,2559,4.1243956043956045,1,370.2195459874241,0.003816154334830837,0.06752749894207158
1298174,2439,3.930989010989011,1,342.18606731521857,0.003899590026328664,0.07305966661982832
1299033,2635,4.246886446886447,1,386.6534414352252,0.0037688817922115407,0.06465738390224096
1300752,2486,4.006739926739926,1,353.48826153733626,0.0038655163318277058,0.07072370632980536
1301611,2687,4.33069597069597,1,397.36204621578645,0.0037387033781525743,0.06291491660585977
1302471,2355,3.795604395604395,1,320.8627678054429,0.00396553861979968,0.07791492970963494
1303330,2539,4.092161172161172,1,365.7313187009918,0.0038292717103349068,0.06835619133957478
1304189,2743,4.4209523809523805,1,408.4403274450667,0.003707987589983801,0.0612084515659448
1305049,2402,3.871355311355311,1,332.9774430398909,0.003927799370945583,0.07508016090148481
1306768,2275,3.6666666666666665,1,299.090909090909,0.004035216434336024,0.08358662613981765
1307627,2453,3.953553113553113,1,345.59796909165016,0.0038892407426038417,0.07233838805739676
1308486,2651,4.272673992673993,1,389.9931415246391,0.003759417882612721,0.06410369141945678
1309346,2321,3.7408058608058603,1,311.7931142532607,0.003994270253661427,0.08018137302318104
1310205,2503,4.034139194139194,1,357.4717611593361,0.0038536484181608136,0.06993559412615179
1311064,2704,4.358095238095237,1,400.7736013986013,0.003729190367996766,0.06237935810331856
1312783,2544,4.10021978021978,1,366.85999142367064,0.003825964550764988,0.06814588830736952
1313642,2763,4.4531868131868135,1,412.2880268482875,0.003697437158896732,0.060637220515742565
1314502,2421,3.901978021978022,1,337.74135406105665,0.00391315502476965,0.07402113984383599
1315361,2658,4.283956043956044,1,391.4416170736713,0.0037553280112944975,0.06386648457794122
1316221,2291,3.692454212454212,1,303.5669219475417,0.0040206923421294725,0.08235416375279571
1317080,2465,3.9728937728937725,1,348.4916098100681,0.0038805064479519834,0.07173773857461098
1318799,2339,3.7698168498168494,1,316.6275409071475,0.003978903722252138,0.07895712397087835
1319658,2523,4.066373626373626,1,362.08950383742297,0.0038399818025292164,0.0690437025515794
1320517,2559,4.1243956043956045,1,370.2195459874241,0.003816154334830837,0.06752749894207158
1321377,2385,3.843956043956044,1,328.6506575185821,0.003941195293099641,0.07606861397679232
1322236,2559,4.1243956043956045,1,370.2195459874241,0.003816154334830837,0.06752749894207158
1323095,2783,4.485421245421246,1,416.08042334955746,0.0036870969552453663,0.06008453798124744
1323096,2192,3.5328937728937726,0,274.82290975447904,0.004115826232656842,0.09096767086242726
1324814,2631,4.240439560439561,1,385.81216958639993,0.0037712732728647368,0.0647983707377624
1325674,2305,3.7150183150183147,1,307.43245908104905,0.004008233041878171,0.08131867426987988
1326533,2485,4.005128205128204,1,353.2522407170294,0.003866221795392216,0.07077095944035668
1327392,2688,4.332307692307692,1,397.5639204545455,0.003738139107625485,0.06288296979116423
1328252,2351,3.7891575091575085,1,319.809365453772,0.003968854445052522,0.07817156938017726
1329111,2539,4.092161172161172,1,365.7313187009918,0.0038292717103349068,0.06835619133957478
1330830,2402,3.871355311355311,1,332.9774430398909,0.003927799370945583,0.07508016090148481
1331689,2594,4.180805860805861,1,377.9074087054041,0.0037938932332974426,0.06615377053771557
1332548,2608,4.203369963369963,1,380.92477691020633,0.003785226901183253,0.06562975557216941
1332549,2276,3.668278388278388,0,299.37250359482346,0.0040342996036279695,0.08350800323945409
1334267,2650,4.271062271062271,1,389.7855917667239,0.003760004643573488,0.06413782481462738
1335127,2323,3.744029304029304,1,312.3339725276875,0.003992545207336422,0.08004252562626317
1336845,2704,4.358095238095237,1,400.7736013986013,0.003729190367996766,0.06237935810331856
1337705,2366,3.8133333333333326,1,323.74125874125866,0.003956506100766401,0.07722216222054219
1338564,2379,3.8342857142857145,1,327.10879284649775,0.003945991084765299,0.07642717208073262
1339423,2761,4.44996336996337,1,411.90576536827894,0.0036984826369446887,0.06069349375978718
1340283,2416,3.8939194139194138,1,336.49495785671286,0.003916975910657104,0.07429531829908002
1341142,2611,4.208205128205128,1,381.56714599073837,0.003783387030442296,0.06551926774273908
1342861,2466,3.974505494505494,1,348.7314753373147,0.0038797841875409236,0.07168839570852746
1343720,2663,4.292014652014652,1,392.47158024101327,0.0037524252480459026,0.06369887976257471
1345439,2514,4.051868131868132,1,360.0206118463875,0.0038460928653266677,0.06944046862146583
1346298,2720,4.383882783882783,1,403.9455213903743,0.003720388900010818,0.06188953380136604
1347158,2384,3.8423443223443225,1,328.3942190359976,0.003941992106996585,0.07612801490046807
