Pulse#,Width(µs),Rise Time(µs),Fall Time(µs),Peak(V),Error(%),Samples
1,758,0,758,1.921172161172161,152.66666666666666,7
2,764,0,764,1.901025641025641,154.66666666666666,7
3,639,0,639,1.8405860805860803,113.0,6
4,761,0,761,1.8994139194139192,153.66666666666666,7
5,889,0,889,1.933260073260073,196.33333333333334,8
6,890,0,890,1.9687179487179487,196.66666666666666,8
7,888,0,888,1.9526007326007324,196.0,8
8,758,0,758,1.921978021978022,152.66666666666666,7
9,887,0,887,1.9574358974358972,195.66666666666666,8
